,0
tier3_count,3318.1407949775457
commercial_share,1532.4799172151834
impact_intensity_total,1017.7599830273539
twowheeler_share,985.9277270492166
distinct_devices,945.3772605974227
heavy_share,842.2266751974821
heavy_share_eb,697.6676947865635
distinct_officers,648.0918584764004
tier3_share_eb,609.8251708298922
mean_sev,594.5073777213693
tier3_share,572.5447160359472
f_main_road,522.8782391548157
f_cross,497.3879188671708
n,388.05917429178953
f_circle,388.00982811301947
sev_sum_total,380.95274347253144
distinct_days,303.3586655780673
f_junction,285.62533842772245
heavy_x_mainroad,283.19529049657285
distinct_weeks,263.2720256075263
f_busstop_school_hosp,253.227618182078
f_mall,252.22829673811793
n_valid,89.14003912732005
f_market,80.53975899145007
recurrence_weeks,73.46970728039742
tier3_x_junction,58.36848972737789
f_metro,0.0
