,0
lag_sev_sum,6876.27018227587
tier3_share,1490.9681611986307
tier3_count,1195.939218820844
kde_sev,1002.8540168977488
tier3_share_eb,772.3940172002767
heavy_share,734.3097710372822
lag_tier3_share,673.8044344952505
lag_n,672.4252570040844
heavy_share_eb,589.221071754233
commercial_share,471.8803224233743
f_main_road,356.93383595565683
mean_sev,266.6840797542245
f_circle,250.96841030719224
heavy_x_mainroad,209.99234654247994
impact_intensity_total,155.9472317700056
twowheeler_share,154.13073069821985
f_junction,122.53128342248965
sev_sum_total,43.81887102886685
f_mall,40.49287504795939
f_cross,35.9115505067457
n,32.17884364469228
distinct_days,17.863871546986047
distinct_devices,17.48802760511171
tier3_x_junction,14.081591921902145
distinct_officers,12.536225866817404
f_busstop_school_hosp,7.9895589450025
distinct_weeks,7.755277582560666
n_valid,7.649351328756893
recurrence_weeks,2.556418258114718
f_market,0.0
f_metro,0.0
